
time: 2026-04-20 09:32:05.511129+03:00, elapsed: 0.820 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:32:34.957327+03:00, elapsed: 1.177 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:33:04.723954+03:00, elapsed: 0.885 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:33:34.841028+03:00, elapsed: 0.887 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:34:05.112242+03:00, elapsed: 1.090 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:34:34.988118+03:00, elapsed: 0.897 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:35:05.126245+03:00, elapsed: 0.907 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:35:34.778274+03:00, elapsed: 1.021 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:36:04.687282+03:00, elapsed: 0.899 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:36:34.694198+03:00, elapsed: 0.856 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:37:04.950604+03:00, elapsed: 0.903 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:37:34.898805+03:00, elapsed: 0.863 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:38:04.915811+03:00, elapsed: 0.818 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:38:35.435198+03:00, elapsed: 1.080 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:39:05.343296+03:00, elapsed: 0.920 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:39:36.221789+03:00, elapsed: 1.773 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:40:05.880742+03:00, elapsed: 1.291 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:40:35.532310+03:00, elapsed: 0.869 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:41:05.532455+03:00, elapsed: 0.810 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:41:34.762922+03:00, elapsed: 0.905 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:42:34.774371+03:00, elapsed: 0.791 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:43:05.059664+03:00, elapsed: 0.925 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:43:35.107954+03:00, elapsed: 0.870 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:44:05.156191+03:00, elapsed: 0.878 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:44:35.596923+03:00, elapsed: 1.136 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:45:05.409235+03:00, elapsed: 0.847 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:45:35.530465+03:00, elapsed: 0.897 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:46:18.204322+03:00, elapsed: 14.479 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:46:35.298189+03:00, elapsed: 1.470 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:47:04.880823+03:00, elapsed: 0.926 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:48:02.041725+03:00, elapsed: 27.953 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:48:05.203124+03:00, elapsed: 0.993 sec, row count: 5042, max date: 2026-01
time: 2026-04-20 09:48:35.162730+03:00, elapsed: 0.860 sec, row count: 5042, max date: 2026-01
