
time: 2026-04-20 07:46:02.025430+03:00, elapsed: 18.514 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 07:46:31.846693+03:00, elapsed: 18.210 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 08:41:13.083693+03:00, elapsed: 20.065 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 08:41:14.441924+03:00, elapsed: 21.426 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 08:41:14.866938+03:00, elapsed: 21.853 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:24:19.769966+03:00, elapsed: 19.566 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:24:35.498258+03:00, elapsed: 18.917 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:25:19.906994+03:00, elapsed: 18.434 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:26:05.754461+03:00, elapsed: 19.985 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:26:50.157658+03:00, elapsed: 19.278 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:27:37.134853+03:00, elapsed: 20.853 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:28:20.425153+03:00, elapsed: 19.254 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:29:06.081626+03:00, elapsed: 19.510 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:29:50.564195+03:00, elapsed: 19.074 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:30:34.313885+03:00, elapsed: 18.535 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:31:19.619901+03:00, elapsed: 18.903 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:32:06.208548+03:00, elapsed: 20.132 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:32:49.578724+03:00, elapsed: 18.613 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:33:36.032205+03:00, elapsed: 19.715 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:34:20.058542+03:00, elapsed: 18.688 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:35:05.971984+03:00, elapsed: 19.310 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:35:51.293385+03:00, elapsed: 19.665 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:36:34.655348+03:00, elapsed: 18.750 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:37:19.993758+03:00, elapsed: 19.146 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:38:05.164712+03:00, elapsed: 19.037 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:38:50.108243+03:00, elapsed: 18.968 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:39:35.517591+03:00, elapsed: 19.062 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:40:20.536727+03:00, elapsed: 19.730 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:41:04.249142+03:00, elapsed: 18.524 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:41:49.296779+03:00, elapsed: 18.180 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:42:36.394924+03:00, elapsed: 20.382 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:43:21.336302+03:00, elapsed: 20.049 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:44:05.446678+03:00, elapsed: 19.147 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:44:51.515781+03:00, elapsed: 19.888 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:45:37.329226+03:00, elapsed: 20.646 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:47:05.441868+03:00, elapsed: 19.462 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:47:07.160251+03:00, elapsed: 66.188 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:48:20.914072+03:00, elapsed: 49.572 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:48:36.208711+03:00, elapsed: 19.864 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:49:21.980274+03:00, elapsed: 20.332 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:50:07.060120+03:00, elapsed: 20.417 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:50:51.196319+03:00, elapsed: 20.311 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:51:34.965886+03:00, elapsed: 19.025 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:52:21.813924+03:00, elapsed: 20.497 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:53:05.193875+03:00, elapsed: 18.752 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:53:50.577136+03:00, elapsed: 19.801 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:54:34.485342+03:00, elapsed: 18.710 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:55:20.212591+03:00, elapsed: 19.117 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:56:06.937264+03:00, elapsed: 20.817 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:56:50.215167+03:00, elapsed: 18.754 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:57:35.600133+03:00, elapsed: 19.114 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:58:19.844812+03:00, elapsed: 19.042 sec, row count: 257065, max date: 2026-02
time: 2026-04-20 09:59:05.389516+03:00, elapsed: 19.661 sec, row count: 257065, max date: 2026-02
